"Plant.ID","Treatment","Population","TOE","Roi.Mask","Fv.Fm","Fq.Fm","NPQ","qP","qN","qL","qI","phiNO","phiNPQ","npq.t","ChlIdx","AriIdx","NDVI","comp"
"Tray06A_Mimiulus_D2_0.8","80%","A",663,5128.92490432198,0.789857365369498,0.121402194198692,1.22786949964288,0.209643849776615,0.672226241472867,0.112642609355861,1.2223015935994,0.372572101013653,0.506012029308166,3.09699956749747,1.77789776914375,1.00764683654333,0.781700930516117,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",675,5300.92101498567,0.790036052428333,0.111482374288394,1.1359138343055,0.188285595548402,0.647500587412048,0.0965030500318274,1.13248763305047,0.397139994029201,0.491382576348824,2.84617686944021,1.78093693594243,0.993755605233101,0.78218618168012,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",687,5471.76671133355,0.790462016903186,0.11632648317389,1.06974517653137,0.192463989838576,0.62851308122812,0.0955764830525075,1.06713806764459,0.407635189359319,0.476411453529074,2.68389919498952,1.80286195825756,1.03332348990683,0.785535551661307,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",699,5592.62458580738,0.789077316697148,0.116699705656018,1.16609891366581,0.197167735619061,0.652677065800296,0.101141165318958,1.16169810182471,0.388978214483373,0.494961147017063,2.90460060215255,1.7827004291594,1.02462009339913,0.784875588459523,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",711,5855.0121079003,0.792349658845964,0.123483536542436,1.12095376087447,0.208759792030868,0.645814778429594,0.107209655376455,1.11839102814029,0.390643549197551,0.485630158184099,2.83675776965737,1.83475895633977,1.11229605825228,0.793624197735555,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",723,6002.25481401758,0.794566991620073,0.119414915540526,1.14423657687657,0.200914499495569,0.647781244229446,0.102629749969262,1.14155182250571,0.390202742508265,0.489412410415973,2.76051718027831,1.8567135580757,1.20653143665267,0.799949352108307,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",735,6062.03856683451,0.791697909396686,0.116975333195809,1.10423299414383,0.193946017152159,0.634253218317191,0.0969527357505306,1.10147706599797,0.401400017419164,0.480942041968959,2.64060436069607,1.91542690081839,1.32771393766133,0.808693808986551,"80%"
"Tray06A_Mimiulus_D2_0.8","80%","A",747,6060.26369389739,0.790544276694613,0.115412746666511,1.10468862805017,0.19036076682901,0.632593258937386,0.0948577053704515,1.10143566431106,0.403426891234696,0.480807254701274,2.63275499520299,1.91757820246565,1.37714339358099,0.810777906180502,"80%"
"Tray06A_Mimiulus_B2_0.4","40%","J",411,1531.74092366284,0.782483001754297,0.134320727366818,1.10970968566614,0.233250379949892,0.644986412661385,0.126777455904798,1.10546592820067,0.386705695888029,0.47917081326431,3.11114191885768,1.73267497454394,0.847465554055441,0.74952522538715,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",423,1598.88815701541,0.77996284812278,0.11125517412098,0.942422896098973,0.178981515583822,0.58157144991099,0.0845891938029016,0.940837406275258,0.446375413562697,0.442982944282242,2.39623080568995,1.73866202600157,0.863578522852218,0.751797843382377,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",435,1708.35882656314,0.779340818982492,0.112472921145072,1.08982212427346,0.186059480860447,0.628087718644607,0.092123014377351,1.08773929619359,0.409671992832171,0.477619051268153,2.69146071052141,1.71164657274867,0.870436954339723,0.752835097887445,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",447,1891.52298924223,0.777541539388164,0.114460775728048,1.1022148597229,0.191542406299215,0.634285267079414,0.0963353621007586,1.10019210111303,0.404093961180453,0.480802998406064,2.75406996179981,1.72671799897299,0.87265130578184,0.753809917603591,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",459,2072.48739486497,0.777984965368025,0.108059450576499,1.22284245817946,0.180404488456813,0.6567143398896,0.0905936537038269,1.21829353813477,0.38760589541797,0.504238037616434,2.76329992540894,1.67184627841697,0.842873315478188,0.749913202000514,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",471,2297.78700882422,0.77952530572469,0.10024623314471,1.25177400683018,0.166217391358369,0.661039452293816,0.0821198479476536,1.24748301173108,0.387779611747799,0.512020704953629,2.73978959382073,1.66482592431352,0.853418274059401,0.750455099578131,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",483,2529.69812782902,0.78243984726884,0.105532573390247,1.1195460994946,0.17111130585991,0.627271186583377,0.0816726319314076,1.11737023941518,0.41084590532423,0.483620195524592,2.52442354282551,1.6893295442873,0.886534349978645,0.753398354474701,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",495,2701.57070420556,0.78924844134031,0.115322836620715,1.03626382534356,0.186180655605448,0.611350662458061,0.0890027043642223,1.03522160057463,0.418849808500572,0.465987782881376,2.42311370264635,1.71725118207616,0.908718289851728,0.756801491372751,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",507,2873.61341845277,0.794313991760034,0.109574540014108,1.04531359336494,0.177479377097151,0.616338291015498,0.0850163129930406,1.04394928411801,0.420182368815711,0.470664357417065,2.44336478744694,1.75609857929075,0.937872293174883,0.761897030736877,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",519,3146.17227098569,0.790283219004295,0.109103318843336,0.949423865546239,0.173809756122258,0.585446524265995,0.0806239193891084,0.947892836755961,0.443998804852061,0.446985114132473,2.28170128432131,1.77093700321067,0.976586579011051,0.764343729172765,"40%"
"Tray06A_Mimiulus_B2_0.4","40%","J",531,3363.65234646155,0.786880462687149,0.112483254752822,1.05030480153233,0.182516317186996,0.614454426047641,0.0879604879643008,1.04793459777583,0.418849869014161,0.468995147452092,2.47627180395088,1.76887952645282,1.01132128174728,0.767169832380704,"40%"
